"Name","Unique_ID__c","Order__c","Target_Field__c","Task_Step__r.Unique_ID__c","Transformation__c"
"MAP00001027","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_LOAD_TRANSFORMATION_IS_PARTICIPANT","2.0","IS_PARTICIPANT","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_STEP_2","1"
"MAP00001028","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_LOAD_TRANSFORMATION_IID","3.0","ID","VFGE_OT_SYNC_IMPORT_FLAT_VF_OPCO_STEP_2","""1"""
"MAP00001029","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_TRANSFORMATION_LAST_UPDATED_DATE","1.0","LAST_UPDATED_DATE","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_STEP_2","util:dateParse(LAST_UPDATED_DATE,'yyyy-MM-dd HH:mm:ss.S')"
"MAP00001030","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_TRANSFORMATION_IS_PARTICIPANT","2.0","IS_PARTICIPANT","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_STEP_2","1"
"MAP00001031","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_TRANSFORMATION_ID","3.0","ID","VFGE_IOT_SYNC_IMPORT_FLAT_3RD_PARTY_STEP_2","1"
"MAP00001032","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_ID","1.0","Id","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","ID"
"MAP00001033","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_STATUS__C","2.0","Status__c","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","""Uploading Data"""
"MAP00001034","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_ERROR_MESSAGE__C","3.0","Error_Message__c","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","null"
"MAP00001035","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_CSV_FILES_IMPORTED__C","4.0","CSV_Files_Imported__c","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","true"
"MAP00001036","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_IMPORTED_CSVS_DATE__C","5.0","Imported_CSVs_Date__c","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","util:getCurrentTimestamp()"
"MAP00001037","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_LOAD_TARGET_TRANSFORMATION_END_PROCESS_DATE__C","6.0","End_Process_Date__c","VFGE_IOT_SYNC_HISTORY_UPLOADING_DATA_STEP_2","null"
"MAP00001038","VFGE_IOT_SYNC_3RD_PARTY_DELETE_LOAD_TARGET_TRANSFORMATION_ID","1.0","Id","VFGE_IOT_SYNC_3RD_PARTY_DELETE_STEP_2","ID"
"MAP00001039","VFGE_IOT_SYNC_VF_OPCO_DELETE_LOAD_TARGET_TRANSFORMATION_ID","1.0","Id","VFGE_IOT_SYNC_VF_OPCO_DELETE_STEP_2","ID"
"MAP00001040","VFGE_IOT_SYNC_PERIOD_DELETE_LOAD_TARGET_TRANSFORMATION_ID","1.0","Id","VFGE_IOT_SYNC_PERIOD_DELETE_STEP_2","ID"
"MAP00001041","VFGE_IOT_SYNC_DEAL_DELETE_LOAD_TARGET_TRANSFORMATION_ID","1.0","Id","VFGE_IOT_SYNC_DEAL_DELETE_STEP_2","ID"
"MAP00001042","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_VRSSTARTDATE","1.0","VRSSTARTDATE","VFGA_GLL_REPORT_STEP_2","util:dateFormat(VRS_START_DATE__C,""MMM-YY"")"
"MAP00001043","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_TADIG","2.0","TADIG","VFGA_GLL_REPORT_STEP_2","TADIG_CODE__C"
"MAP00001044","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_OPERATORNAME","3.0","OPERATORNAME","VFGA_GLL_REPORT_STEP_2","NAME"
"MAP00001045","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_VRSPAYCURRENCY","4.0","VRSPAYCURRENCY","VFGA_GLL_REPORT_STEP_2","PAY_CURRENCY__C"
"MAP00001046","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_VRSRECEIVECURRENCY","5.0","VRSRECEIVECURRENCY","VFGA_GLL_REPORT_STEP_2","RECEIVE_CURRENCY__C"
"MAP00001047","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_CONTRACTTYPE","6.0","CONTRACTTYPE","VFGA_GLL_REPORT_STEP_2","util:decode(EFFECTIVE_CONTRACT_TYPE__C, 'AA12, AA13 - Gateway', 'AA12', 'AA73 - Hub', 'AA73', 'VFAA73 - Hub', 'VFAA73', 'AA74 - Peering', 'AA74', EFFECTIVE_CONTRACT_TYPE__C)"
"MAP00001048","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_DCH","7.0","DCH","VFGA_GLL_REPORT_STEP_2","DCH__R.TADIG_CODE__C"
"MAP00001049","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_FCHINVOICING","8.0","FCHINVOICING","VFGA_GLL_REPORT_STEP_2","FCH_INVOICE_CREATION__R.TADIG_CODE__C"
"MAP00001050","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_FCHCLEARING","9.0","FCHCLEARING","VFGA_GLL_REPORT_STEP_2","FCH_RECONCILIATION__R.TADIG_CODE__C"
"MAP00001051","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_FCHSETTLEMENT","10.0","FCHSETTLEMENT","VFGA_GLL_REPORT_STEP_2","FCH_SETTLEMENT__R.TADIG_CODE__C"
"MAP00001052","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_RTDR","11.0","RTDR","VFGA_GLL_REPORT_STEP_2","ACTIVE_CONTRACT_AGREEMENT_TO_DELIVER__C"
"MAP00001053","VFGA_COL_REPORT_LOAD_TARGET_TRANSFORMATION_HSFTRIGGER","12.0","HSFTRIGGER","VFGA_GLL_REPORT_STEP_2","HSF_TRIGGER__C"
"MAP00001054","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_NAME","1.0","Name","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","NAME"
"MAP00001055","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_ACTUAL_NEGOTIATION_END_DATE__C","2.0","Actual_Negotiation_End_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","ACTUAL_NEGOT_END_DATE__C"
"MAP00001056","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_ACTUAL_NEGOTIATION_START_DATE__C","3.0","Actual_Negotiation_Start_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","ACTUAL_NEGOT_START_DATE__C"
"MAP00001057","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CAS_COMMENTS__C","4.0","CAS_Comments__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CAS_COMMENTS__C"
"MAP00001058","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CAS_DATE__C","5.0","CAS_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CAS_DATE__C"
"MAP00001059","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTACT_PERSON_SRC__C","6.0","Contact_Person_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTACT_PERSON_SRC"
"MAP00001060","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTRACT_CATEGORY__C","7.0","Contract_Category__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTRACT_CATEGORY__C"
"MAP00001061","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTRACT_MANAGER_SRC__C","8.0","Contract_Manager_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTRACT_MANAGER__C"
"MAP00001062","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTRACT_NAME__C","8.0","Contract_Name__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTRACT_NAME__C"
"MAP00001063","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTRACT_TYPE_SRC__C","8.0","Contract_Type_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTRACT_TYPE_SRC__C"
"MAP00001064","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CONTRACT_TYPE__C","9.0","Contract_Type__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CONTRACT_TYPE__C"
"MAP00001065","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_CURRENT_MILESTONE__C","10.0","Current_Milestone__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","CURRENT_MILESTONE__C"
"MAP00001066","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_DEAL_STATUS__C","10.0","Deal_Status__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","DEAL_STATUS__C"
"MAP00001067","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_EFFECTIVE_DATE__C","11.0","Effective_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","EFFECTIVE_DATE__C"
"MAP00001068","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_EMAIL_ADDRESS_SRC__C","12.0","Email_Address_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","EMAIL_ADDRESS_SRC"
"MAP00001069","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_END_DATE__C","13.0","End_Date__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","END_DATE__C"
"MAP00001070","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_FINANCE_SRC__C","14.0","Finance_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","FINANCE_SRC__C"
"MAP00001071","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_FRAUD_SRC__C","15.0","Fraud_Src__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","FRAUD_SRC__C"
"MAP00001072","VFGE_IOT_SYNC_DEAL_INSERT_LOAD_TARGET_TRANSFORMATION_INITIAL_CONTACT_COMMENTS__C","16.0","Initial_Contact_Comments__c","VFGE_IOT_SYNC_DEAL_INSERT_STEP_2","INITIAL_CONTACT_COMMENTS__C"
