"Name","Unique_ID__c","Entity__r.Unique_ID__c","Field_Name__c","Order__c","Type__c"
"FLD00001439","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_LOA_STATUS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","LOA_STATUS","39.0","String"
"FLD00001440","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_NOTIFY_CONTRACT_MANAGER","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","NOTIFY_CONTRACT_MANAGER","40.0","String"
"FLD00001441","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_CONTRACT_MANAGER_NOTIFIED","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","CONTRACT_MANAGER_NOTIFIED","41.0","String"
"FLD00001442","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_PLANNED_NEGOTIATION_START_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","PLANNED_NEGOTIATION_START_DATE","42.0","Date"
"FLD00001443","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_ACTUAL_NEGOTIATION_START_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","ACTUAL_NEGOTIATION_START_DATE","43.0","Date"
"FLD00001444","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_DAYS_TO_NEGOTIATION_START","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","DAYS_TO_NEGOTIATION_START","44.0","Integer"
"FLD00001445","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_PLANNED_NEGOTIATION_END_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","PLANNED_NEGOTIATION_END_DATE","45.0","Date"
"FLD00001446","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_ACTUAL_NEGOTIATION_FINISH_DATE","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","ACTUAL_NEGOTIATION_FINISH_DATE","46.0","Date"
"FLD00001447","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_AUTO_RENEWAL","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","AUTO_RENEWAL","47.0","String"
"FLD00001448","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_VALIDATION_STATUS","VRS_VFGE_IOT_SYNC_IMPORT_FLAT_DEAL_EXTRACT_SOURCE","VALIDATION_STATUS","48.0","String"
